1,Round 1,Calcutta Institute of Technology Uluberia Howrah,Mechanical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India,Open,52973,88134
2,Round 1,Techno India University Salt Lake,Civil Engineering (TFW),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,Tuition Fee Waiver,35964,35964
3,Round 1,Jadavpur University,Civil Engineering (TFW),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,Tuition Fee Waiver,1283,1915
4,Round 1,Heritage Institute of Technology Kolkata,Civil Engineering (TFW),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,Tuition Fee Waiver,15224,18044
5,Round 1,Ramkrishna Mahato Government Engineering College Purulia,Civil Engineering (TFW),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,Tuition Fee Waiver,12283,15988
6,Round 1,Cooch Behar Government Engineering College Cooch Behar,Civil Engineering (TFW),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,Tuition Fee Waiver,7469,15493
7,Round 1,Jalpaiguri Goverment Engineering CollegeJalpaiguri,Civil Engineering (TFW),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,Tuition Fee Waiver,4716,5469
8,Round 1,Haldia Institute of Technology Haldia Purba Medinipur,Civil Engineering (TFW),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,Tuition Fee Waiver,16689,33146
9,Round 1,Govt. College of Engineering & Textile Technology Serampore,Textile Technology,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,SC,18949,30761
10,Round 1,Govt. College of Engineering & Textile Technology Serampore,Textile Technology,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,ST,42179,78628
11,Round 1,Govt. College of Engg. & Textile Technology Berhampore,Textile Technology,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,OBC - B,19140,19904
12,Round 1,Govt. College of Engineering & Textile Technology Serampore,Textile Technology,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,OBC - A,17594,25505
