38,Round 1,Murshidabad College of Engineering & Technology Murshidabad,COMPUTER SCIENCE & ENGINEERING,B.E/B. Tech,WBJEE Seats,Home State,OBC - B,29838,29838
39,Round 1,Regent Education and Research Foundation Barasat Kolkata,COMPUTER SCIENCE & ENGINEERING,B.E/B. Tech,WBJEE Seats,Home State,OBC - B,50682,57818
40,Round 1,Pailan College of Management & Technology Pailan Park,COMPUTER SCIENCE & ENGINEERING,B.E/B. Tech,WBJEE Seats,Home State,OBC - B,50052,60111
41,Round 1,Mallabhum Institute of Technology Bishnupur Bankura,COMPUTER SCIENCE & ENGINEERING,B.E/B. Tech,WBJEE Seats,Home State,OBC - B,59921,64487
42,Round 1,Ideal Institute of Engineering Kalyani,COMPUTER SCIENCE & ENGINEERING,B.E/B. Tech,WBJEE Seats,Home State,OBC - B,22148,40033
43,Round 1,Cooch Behar Government Engineering College Cooch Behar,COMPUTER SCIENCE & ENGINEERING,B.E/B. Tech,WBJEE Seats,Home State,OBC - B,4751,5605
44,Round 1,Jalpaiguri Goverment Engineering CollegeJalpaiguri,COMPUTER SCIENCE & ENGINEERING,B.E/B. Tech,WBJEE Seats,Home State,OBC - B,2333,2714
45,Round 1,Goverment College of Engineering and Leather Technology Kolkata,COMPUTER SCIENCE & ENGINEERING,B.E/B. Tech,WBJEE Seats,Home State,OBC - B,3102,3506
46,Round 1,Govt. College of Engg. & Textile Technology Berhampore,COMPUTER SCIENCE & ENGINEERING,B.E/B. Tech,WBJEE Seats,Home State,OBC - B,4587,5508
47,Round 1,Jadavpur University,Production Engineering,B.E/B. Tech,WBJEE Seats,Home State,OBC - B,1440,1965
48,Round 1,Swami Vivekananda University,COMPUTER SCIENCE & ENGINEERING,B.E/B. Tech,WBJEE Seats,Home State,OBC - B,44972,48700
49,Round 1,Govt. College of Engineering & Textile Technology Serampore,COMPUTER SCIENCE & ENGINEERING,B.E/B. Tech,WBJEE Seats,Home State,OBC - B,4141,4582
50,Round 1,Ramkrishna Mahato Government Engineering College Purulia,COMPUTER SCIENCE & ENGINEERING,B.E/B. Tech,WBJEE Seats,Home State,OBC - B,5652,5913
